HULI_DAM_CNCR_RGN_MNG_NO,RGN_CD,SN,DAM_CNCR_RGN_TYPE_CD,DAM_CNCR_RGN_DSTRCT_TYPE_CD,DSTRCT_NM,DSTRCT_DSGN_RSN_CD,DSGN_YMD,RMV_YMD,DSTRCT_DSGN_RSN_DTL_CN,GRDNT,DONG_CD,STDG_CD,MTN_ADDR_YN,MNLNO,SUBLOTNO,DADDR,RONA_DADDR,ROAD_NM_ADDR_CD,EXPC_DAM_NOHO,EXPC_DAM_NOPE,EXPC_DAM_BLDG_CNT,EXPC_DAM_AREA,ETC_DAM_CN,SHNT_TRGT_HSHD_CNT,SHNT_TRGT_NOPE,SHNT_PLC_NM,ACTC_TNOP,HYTM_NM,HYTM_CD,ACML_RNFL,MAX_HR_RNFL,MAX_CNTY_RNFL,GD_STF_CR_TYPE_CD_1,GD_STF_CR_TYPE_CD_2,XCRD,YCRD,LAST_MDFCN_DT,DEL_YN,DSGN_TYPE,DST_TYPE,DMG_TYPE,RMRK,SSON_SE_CD,NAOL_SE_CD,DSGN_RSN_CLSF_CD,DSTRCT_DSGN_RSN_DTL_CLSF_CN,FRST_REG_DT,DSTRCT_RSN_DTL_CLSF_CD,INST_NM_1,DEPT_NM_1,JBGD_NM_1,JBTTL_NM_1,LOT,LAT
인명피해우려지역관리번호,지역코드,일련번호,피해우려지역유형코드,피해우려지역지구유형코드,지구명,지구지정사유코드,지정일자,해제일자,지구지정사유상세내용,경사도,행정동코드,법정동코드,산주소여부,주지번,부지번,상세주소,도로명상세주소,도로명주소코드,예상피해세대수,예상피해인원수,예상피해건물수,예상피해면적,기타피해내용,대피대상가구수,대피대상인원수,대피장소명,수용인원,우량계명,우량계코드,누적강우량,최대시간강우량,최대연속강우량,안내요원직업유형코드1,안내요원직업유형코드2,X좌표,Y좌표,최종수정일시,삭제여부,지정유형,재해유형,피해유형,비고,계절구분코드,신구구분코드,지정사유분류코드,지구지정사유상세분류내용,최초등록일시,지구사유상세분류코드,기관명1,부서명1,직급명1,직책명1,경도,위도
9999999999,4773000000,25706,001,018,탑들지구,018,20250111,20250428,침수피해,,,4773033040,N,224,,,,,,,,,침수피해,,,,,옥산면,4773033000,,,,,,,,2025/11/01 17:58:18,,,,,,,00,,,2018/04/30 17:58:18,,,,,,,
9999999999,4682000000,25375,001,001,관동1지구,001,20250112,20250429,집중호우 시 하류지역에 주택이 위치하고 있어 주택침수 피해우려,,,4682032026,Y,110,1,,,,,,,,,,,,,무,,,,,,,,,2025/11/01 13:24:32,,,,,,,00,,,2017/05/18 13:24:32,,,,,,,
9999999999,4682000000,25376,001,001,읍호지구,001,20250515,20250901,과거 토석류피해가 있었던 지역으로 계류가 불안정하여 예방대책 시급,,,4682033026,Y,13,,,,,,,,,,,,,,무,,,,,,,,,2025/11/01 09:02:01,,,,,,,00,,,2017/05/18 09:02:01,,,,,,,
N999999999,4886000000,43710391,,,외송지구,001,20250302,20250921,,,4886038030,4886038030,Y,71,6,신안면 외송리 1037,,,,,,,,,,,,,,,,,,,1040610.481073,1707162.886427,2025/11/01 10:06:57,N,,,,,001,01,-1,,2022/02/15 10:06:57,,,,,,127.9469994,35.3592728
9999999999,4514000000,43710145,001,002,용두산지구,002,20250428,20250831,붕괴로 인한 인명 및 재산 보호,,4514036025,4514036025,Y,5,2,전라북도 익산시 용안면 용두리 산 5-2,,,,,,,,,,,,용안면,4514036021,,,,,,952399.522261,1794559.894343,2025/11/01 14:00:17,,,,,,,00,,,,,,,,,126.9708738,36.1469293
9999999999,4311000000,26659,001,018,일신지구,006,20250805,20250920,"호안 노후, 통수능 부족",,4311425324,4311425324,N,306,3,,,,,,,,,,,,,청주시,4311154500,,,,,,,,2025/11/01 13:13:19,,,,,,,00,,,2018/04/16 13:13:19,,,,,,,
9999999999,2644000000,2,001,018,산사태 우려지역,001,20250115,20250719,해당 지역은 급경사의 언덕으로 호우 시 산사태로 인한 유실이 우려됨,0,2644055000,2644010500,N,1039,0,오봉산 일원,,,16,32,16,16,,16,32,가락초등학교,500,강서구청 우량계,2644051000,200,50,150,001,008,0,0,2025/11/01 10:58:00,N,,,,,,00,,,2017/04/19 10:58:00,,,,,,,
9999999999,2644000000,3,001,018,산사태 우려지역,001,20251005,20251008,산지와 인접하여 호우 시 산사태의 우려가 있음,0,2644056000,2644010900,N,1022,0,"송정동 1022번지 일원의 길이 300m, 높이 20~30m의 능선 부분",,,4,12,4,0,,4,12,송정초등학교,757,녹산수문 우량계,2644056000,200,50,150,001,008,0,0,2025/11/01 10:56:29,N,,,,,,00,,,2017/04/19 10:56:29,,,,,,,
264400002,2644000000,6,001,018,대항지구,014,20250409,20250920,해수면과 고저차이가 낮아 폭풍 및 지진해일에 취약,,2644057000,2644012200,N,265,0,대항마을 일원,,,184,286,150,16,,184,286,대항분교,400,녹산수문 우량계,2644056000,200,50,150,001,008,0,0,2025/11/01 11:05:45,N,,,,,,00,,,2017/04/19 11:05:45,,,,,,,
9999999999,4182000000,10,001,009,구운천,008,20250509,20250827,"(하천급류) 집중호우 시 하천범람으로 인한 침수, 급류휩쓸림 돌발성 인명피해",,4182032524,4182032524,N,577,2,일원(서울시교육원),,,0,20,0,0,,,,,,청평면,4182032500,300,30,200,001,007,988829.480864,1964822.646344,2025/11/01 09:44:11,N,,,,,,00,,,2018/03/19 17:57:18,,,,,,127.3733129,37.6828734
