시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
591,225,우리마포복지관,마포구,1144011000,서울특별시 마포구 노고산동 1-49,260,126.942623,37.555991,194930.221543,550719.969788
592,235,대흥동 자치회관,마포구,1144011000,서울특별시 마포구 노고산동 1-49,125,126.942636,37.555991,194931.37905,550719.966861
593,211,한서초등학교,마포구,1144010900,서울특별시 마포구 염리동 21-19,576,126.949273,37.553472,195517.642922,550440.062935
594,214,염리동주민센터,마포구,1144010900,서울특별시 마포구 염리동 147-14,115,126.945642,37.547015,195196.384822,549723.592774
595,99,신석초등학교,마포구,1144011100,서울특별시 마포구 신수동 445-11,693,126.933646,37.546075,194136.190367,549619.929137
596,230,신수동주민센터,마포구,1144011100,서울특별시 마포구 신수동 458-0,373,126.935205,37.547075,194274.09217,549730.794306
597,55,서교초등학교,마포구,1144012000,서울특별시 마포구 서교동 341,1238,126.924979,37.554863,193371.128884,550595.91641
897,374,메이플레이스 호텔,종로구,1111015900,서울특별시 종로구 원남동 25-0,9900,126.998749,37.576103,199889.523053,552950.675038
898,375,오라카이 대학로 호텔,종로구,1111015900,서울특별시 종로구 원남동 49-15,9900,126.998717,37.575604,199886.653156,552895.271854
899,376,종로종합사회복지관,종로구,1111017400,서울특별시 종로구 창신동 23-344,325,127.012486,37.577296,201102.919799,553083.108012
924,342,서울석촌초등학교,송파구,1171010500,서울특별시 송파구 석촌동 267,3692,127.104776,37.502551,209264.549596,544792.416201
925,344,서울신가초등학교,송파구,1171010700,서울특별시 송파구 가락동 43-1,1497,127.121311,37.500721,210726.834692,544591.0492
926,491,서울가락초등학교,송파구,1171010700,서울특별시 송파구 가락동 477-0,4720,127.107652,37.500183,209519.122332,544529.861264
927,484,송파중학교,송파구,1171010700,서울특별시 송파구 가락동 139-0,4011,127.129326,37.496277,211436.304935,544098.767485
933,334,강동경희대학병원,강동구,1174010300,서울특별시 강동구 상일동 149,7954,127.15747,37.552917,213914.492429,550388.962627
934,304,고명초등학교,강동구,1174010100,서울특별시 강동구 명일동 296-1,817,127.146865,37.55265,212977.460704,550357.728699
935,370,서울개롱초등학교,송파구,1171011200,서울특별시 송파구 오금동 159,1256,127.139664,37.497183,212350.328142,544200.600258
936,482,세륜중학교,송파구,1171011200,서울특별시 송파구 오금동 7-3,2194,127.131848,37.508372,211657.391472,545441.456501
937,340,서울송파초등학교,송파구,1171010400,서울특별시 송파구 송파동 114,3070,127.110752,37.507053,209792.359273,545292.667775
938,371,송파여성문화회관,송파구,1171010400,서울특별시 송파구 송파동 113-2,13405,127.109782,37.505901,209706.735809,545164.717771
939,366,서울중대초등학교,송파구,1171010400,서울특별시 송파구 송파동 191,3611,127.11371,37.500104,210054.822944,544521.726572
