시설번호,시설일련번호,수용시설명,시군구명,법정동코드,상세주소,시설면적,경도,위도,X좌표,Y좌표
199,88,효령어린이공원,서초구,1165010100,서울특별시 서초구 방배동 906-14,1432.0,126.997549,37.483163,199783.253999,542635.40639
200,92,우면수변공원,서초구,1165010300,서울특별시 서초구 우면동 749,21609.0,127.013599,37.45584,201203.16835,539603.011767
201,126,봉천어린이공원,관악구,1162010100,서울특별시 관악구 봉천동 1707-2,651.0,126.964469,37.469262,196856.890509,541093.169975
202,131,대협어린이공원,관악구,1162010200,서울특별시 관악구 신림동 746-32,391.0,126.913376,37.474833,192337.650599,541714.396138
203,120,장미어린이공원,관악구,1162010100,서울특별시 관악구 봉천동 148-103,423.0,126.962395,37.479126,196673.877231,542188.095017
204,113,청암중고등학교,노원구,1135010600,서울특별시 노원구 중계로 244(중계동),1280.0,127.073654,37.651345,206499.714747,561304.179269
205,120,고덕중학교 운동장,강동구,1174010200,서울특별시 강동구 동남로82길 94(고덕동),4000.0,127.161314,37.560198,214252.798251,551197.611659
206,70,장위3동 마을공원,성북구,1129013800,서울특별시 성북구 돌곶이로32길 39-8 (장위동),5331.0,127.053366,37.617002,204711.513732,557491.295355
207,71,간대어린이공원,성북구,1129013800,서울특별시 성북구 장월로33길 5-10 (장위동),6192.1,127.050662,37.618209,204472.74202,557625.100873
208,110,불암초등학교,노원구,1135010600,서울특별시 노원구 중계로 178(중계동),11351.0,127.0804,37.651,207095.065284,561266.426024
209,111,영신여자고등학교,노원구,1135010600,서울특별시 노원구 중계로16나길 13(중계동),14886.0,127.0829,37.6522,207315.565308,561399.80598
210,86,파리15구공원,서초구,1165010700,서울특별시 서초구 반포동 68-2,708.0,126.999165,37.499517,199926.134552,544450.475396
211,123,으뜸어린이공원,관악구,1162010100,서울특별시 관악구 봉천동 1731,3232.0,126.94104,37.478485,194784.954082,542117.903823
212,15,번남어린이공원,강북구,1130510200,서울특별시 강북구 오패산로77길 41(번동),1003.0,127.02493,37.635793,202200.407398,559575.893701
213,26,강북중학교운동장,강북구,1130510300,서울특별시 강북구 한천로150길 67(수유동),3312.0,127.025972,37.644769,202292.142448,560572.107689
214,27,솔밭(근린)공원,강북구,1130510400,서울특별시 강북구 삼양로 561(우이동),37911.0,127.012177,37.652119,201074.591792,561387.604499
215,19,번동중학교운동장,강북구,1130510200,서울특별시 강북구 오현로35길 87(번동),4356.0,127.036848,37.632117,203252.550465,559168.171608
216,15,중화고등학교운동장,중랑구,1126010300,서울특별시 중랑구 봉화산로27길 62(중화동),502.0,127.082774,37.604472,207309.110301,556102.511081
217,7,화계초등학교운동장,강북구,1130510100,서울특별시 강북구 솔매로50가길 25(미아동),2135.0,127.029156,37.623864,202573.871131,558251.980068
