관리번호,붕괴위험지구번호,붕괴위험지구명,재해위험평가점수합계,재해위험평가등급코드,붕괴위험지구지정여부,붕괴위험지구지정일자,붕괴위험지구지정사유내용,위험해소조치코드,삭제여부,최초등록일시,최종수정일시
4681000042,2340,강진-02,62.0,SDG004,Y,20251101.0,급경사지 붕괴위험지구,SRD001,N,2016/10/11 16:32,2025/11/01 0:00
4471000056,2392,지량4,64.0,SDG004,Y,20251101.0,붕괴위험지구 지정고시,SRD001,N,2016/11/18 17:54,2025/11/01 0:00
4377000200,2393,삼용지구 급경사지 붕괴위험지역,56.0,SDG003,N,20161209.0,급경사지 붕괴위험,,Y,2016/11/21 15:44,2017/02/14 10:23
4128100019,2385,테스트,60.0,SDG003,Y,20161201.0,테스트,,Y,2016/12/01 12:01,2016/12/01 12:04
4371000045,2430,평촌,54.0,SDG003,Y,20251101.0,붕괴위험지역으로부터 지역주민의 생명과 재산 보호,SRD001,N,2016/12/19 14:26,2025/11/01 0:00
4827000058,2438,상동2지구,53.0,SDG003,Y,20251101.0,"붕괴위험지역 관리 및 정비, 주민의 생명과 재산보호",SRD001,N,2016/12/20 11:53,2025/11/01 0:00
4477000016,2448,당정지구,60.0,SDG003,Y,20251101.0,붕괴의위험지역정비,SRD001,N,2017/01/02 18:01,2025/11/01 0:00
4281000013,2449,미산30지구,61.0,SDG004,Y,20251101.0,붕괴위험지역,SRD001,N,2017/01/03 17:31,2025/11/01 0:00
4159000134,2471,쌍용아파트,58.0,SDG003,Y,20251101.0,화성시고시제2017-57호 참고,,N,2017/02/03 10:40,2025/11/01 0:00
1162000002,1732,미성동 산1707-1,29.0,SDG002,N,20141130.0,급경사지 재해예방에 관한 법률 제2조에 따라 제외,,Y,2016/08/03 16:17,2017/11/10 12:52
1162000004,1733,행운동 산66-1,38.0,SDG002,N,20151130.0,급경사지재해예방에관한법률에 따라 제외,,Y,2016/08/03 16:36,2017/11/10 12:53
4219000115,1741,수화전지구,67.0,SDG004,Y,20251101.0,붕괴위험지구,SRD999,N,2016/08/04 14:00,2025/11/01 0:00
4282000002,1806,신안3리 1지구,75.0,SDG004,Y,20101206.0,붕괴위험 지역,SRD001,Y,2016/08/19 9:47,2016/08/24 15:17
4282000056,1817,아야진9지구,70.0,SDG004,Y,20251101.0,붕괴 위험지역,,N,2016/08/19 14:09,2025/11/01 0:00
4282000008,1818,오호2지구,65.0,SDG004,Y,20251101.0,붕괴 위험지역,SRD001,N,2016/08/19 14:14,2025/11/01 0:00
4283000099,1781,상양혈지구,65.0,SDG004,Y,20251101.0,지정 관리 및 정비를 통한 주민의 생명과 재산보호,SRD002,N,2016/08/19 15:28,2025/11/01 0:00
4371000096,1880,덕유1(문의11),69.0,SDG004,Y,20251101.0,사면붕괴,SRD001,N,2016/08/30 10:10,2025/11/01 0:00
4312100007,2024,미원6(대신),65.0,SDG004,Y,20251101.0,사면붕괴,SRD001,N,2016/08/30 10:14,2025/11/01 0:00
