인명피해우려지역관리번호,지구명,피해우려지역유형코드,피해우려지역지구유형코드,지구지정사유코드,지정일자,해제일자,법정동코드,주지번,예상피해세대수,예상피해인원수,예상피해건물수,경도,위도,X좌표,Y좌표,신구구분코드,최종수정일시
9999999999,청담,1.0,1.0,1,20250620,20251021,4817039026.0,8.0,,1.0,,128.291838,35.2450845,1072041.196,1694694.82,0,2025/11/01 14:07
9999999999,삼계,1.0,18.0,18,20250911,20250912,4817031023.0,521.0,,,,128.0338787,35.1438969,1048632.112,1683316.284,0,2025/11/01 20:14
9999999999,신율리,1.0,18.0,18,20250526,20251002,4817031022.0,170.0,,,,128.0942628,35.150969,1054128.009,1684131.757,0,2025/11/01 20:22
9999999999,천전,1.0,18.0,18,20250212,20250713,4817010200.0,428.0,,,,128.0935813,35.169394,1054053.739,1686174.737,0,2025/11/01 20:29
9999999999,청량삼정지구,1.0,18.0,18,20250321,20250814,3171033026.0,755.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 13:42
9999999999,도소2지구,1.0,10.0,5,20250416,20250904,4573035022.0,1363.0,15.0,30.0,15.0,127.5465815,35.9719092,1004199.772,1775018.765,0,2025/11/01 13:10
9999999999,신풍지구,1.0,10.0,5,20250324,20251025,4480034022.0,1.0,0.0,6.0,0.0,126.7053134,36.483143,928815.5328,1832016.76,0,2025/11/01 14:27
N999999999,백양대로,,,18,20250713,20251029,,784.0,,,,,,,,1,2025/11/01 16:57
9999999999,마온지구,1.0,10.0,5,20250313,20250917,4480039032.0,254.0,0.0,12.0,0.0,126.6445606,36.5683396,923457.4392,1841514.042,0,2025/11/01 14:25
9999999999,밀두지구,1.0,2.0,2,20250307,20250522,4420038025.0,219.0,56.0,179.0,2.0,,,0.0,0.0,0,2025/11/01 16:35
9999999999,복하1교,1.0,6.0,7,20250113,20250220,4150010800.0,246.0,0.0,0.0,0.0,127.4721354,37.2814531,997529.8825,1920280.961,0,2025/11/01 11:12
9999999999,오관지구,1.0,5.0,6,20250507,20250809,4480025021.0,457.0,0.0,520.0,0.0,126.6632986,36.5984411,925163.171,1844838.416,0,2025/11/01 14:48
9999999999,신안지구,1.0,3.0,6,20250607,20251017,4480038023.0,636.0,0.0,2.0,0.0,126.5930544,36.6127298,918895.1506,1846480.472,0,2025/11/01 14:46
9999999999,가곡지구,1.0,3.0,6,20250711,20250906,4480038024.0,99.0,0.0,20.0,0.0,126.5822622,36.6428334,917961.9391,1849829.035,0,2025/11/01 14:45
S000002017,동부간선도로,,,1,20250117,20250312,1135000000.0,,,,,,,,,2,
S000002017,동부간선도로,,,1,20250730,20250804,1120012200.0,,,,,,,,,2,
S000002017,동부간선도로,,,1,20250505,20250620,1120011500.0,,,,,,,,,2,
9999999999,장곡지구,1.0,10.0,5,20250617,20251008,4480035023.0,649.0,0.0,15.0,0.0,126.6039225,36.5392523,919791.1089,1838320.536,0,2025/11/01 14:22
9999999999,산성지구,1.0,10.0,5,20250304,20250505,4480034033.0,40.0,0.0,3.0,0.0,126.7479933,36.5065442,932658.936,1834581.883,0,2025/11/01 14:20
9999999999,마전~홍산교,1.0,3.0,8,20251024,20251101,4511114200.0,208.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 13:48
9999999999,송금지구,1.0,10.0,5,20250519,20250519,4623035028.0,1032.0,30.0,60.0,30.0,127.7563729,35.0331831,1023385.029,1670937.964,0,2025/11/01 17:12
9999999999,안적~승암교,1.0,3.0,8,20250913,20251022,4511114400.0,436.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 13:40
9999999999,승암교~한벽교,1.0,3.0,8,20250319,20250819,4511111800.0,1035.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 13:42
9999999999,싸전다리~매곡교,1.0,3.0,8,20250420,20250718,4511112200.0,597.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 13:44
9999999999,우림~이동교,1.0,3.0,8,20250810,20250821,4511114000.0,709.0,0.0,0.0,0.0,,,0.0,0.0,0,2025/11/01 13:46
9999999999,면옥치리지구,1.0,18.0,18,20250620,20250816,5183033033.0,533.0,3.0,20.0,0.0,,,0.0,0.0,0,2025/11/01 15:25
9999999999,죽정지구,1.0,18.0,7,20250505,20251016,5183034021.0,379.0,113.0,198.0,,128.7516654,37.9674697,1109943.547,1997129.576,0,2025/11/01 17:47
9999999999,금암지구,1.0,1.0,1,20250514,20250607,3611035025.0,41.0,,60.0,,,,,,0,2025/11/01 11:27
9999999999,기룡지구,1.0,1.0,1,20250223,20250606,3611036028.0,161.0,,110.0,7.0,127.238495,36.570622,976602.1119,1841458.595,0,2025/11/01 13:15
9999999999,조일지구,1.0,1.0,1,20250831,20251027,3171040022.0,444.0,1.0,2.0,,129.1144636,35.4884087,1146448.11,1722590.907,0,2025/11/01 10:59
9999999999,덕현지구,1.0,1.0,1,20250831,20250911,3171038026.0,21.0,2.0,5.0,,129.0598945,35.6381763,1141234.631,1739123.492,0,2025/11/01 8:33
9999999999,자연재해위험개선지구,1.0,18.0,8,20250911,20250917,4479032000.0,0.0,,,,,,,,0,2025/11/01 10:08
9999999999,소죽골지구,1.0,10.0,5,20250319,20250407,4479031000.0,369.0,,,,,,,,0,2025/11/01 10:44
