facility_id,facility_name,sido,sigungu,address,lon,lat,facility_type,area
272,아현동주민센터,서울특별시,마포구,서울특별시 마포구 공덕동 458-0,126.952196,37.54711,임시주거시설,109
273,에이치에비뉴 이대점,서울특별시,마포구,서울특별시 마포구 노고산동 1-74,126.942516,37.556287,임시주거시설,2772
274,연남동주민센터,서울특별시,마포구,서울특별시 마포구 연남동 250-9,126.92321,37.564116,임시주거시설,349
275,성서중학교,서울특별시,마포구,서울특별시 마포구 성산동 587-4,126.908463,37.563098,임시주거시설,1955
283,마포구육아종합지원센터,서울특별시,마포구,서울특별시 마포구 상암동 1686-0,126.883634,37.580547,임시주거시설,127
284,상암동주민센터,서울특별시,마포구,서울특별시 마포구 상암동 1616-0,126.894745,37.578298,임시주거시설,183
285,도화동주민센터,서울특별시,마포구,서울특별시 마포구 도화동 557-0,126.949919,37.541471,임시주거시설,398
286,서강동주민센터,서울특별시,마포구,서울특별시 마포구 창전동 246-0,126.932096,37.547726,임시주거시설,77
287,서강동자치회관,서울특별시,마포구,서울특별시 마포구 상수동 397-0,126.926972,37.545061,임시주거시설,152
288,소의초등학교,서울특별시,마포구,서울특별시 마포구 아현동 386-1,126.960844,37.552191,임시주거시설,401
300,동대문구청,서울특별시,동대문구,서울특별시 동대문구 용두동 39-9,127.03992,37.574285,임시주거시설,730
371,창신3동주민센터,서울특별시,종로구,서울특별시 종로구 창신동 23-816,127.01473,37.578026,임시주거시설,118
372,숭인1동주민센터,서울특별시,종로구,서울특별시 종로구 숭인동 55-2,127.015633,37.577836,임시주거시설,770
373,숭인상록경로당,서울특별시,종로구,서울특별시 종로구 숭인동 55-2,127.015593,37.577808,임시주거시설,244
374,숭인2동주민센터,서울특별시,종로구,서울특별시 종로구 숭인동 178-167,127.019986,37.574886,임시주거시설,256
375,아름꿈도서관,서울특별시,종로구,서울특별시 종로구 숭인동 242-7,127.017131,37.572687,임시주거시설,639
402,덕수초등학교,서울특별시,중구,서울특별시 중구 정동 1-76,126.974851,37.568986,임시주거시설,897
403,훈련원공원 종합체육관,서울특별시,중구,서울특별시 중구 을지로5가 1-42,127.003879,37.567387,임시주거시설,747
404,성동글로벌경영고등학교,서울특별시,중구,서울특별시 중구 신당동 250-3,127.012995,37.565826,임시주거시설,554
421,효제초등학교,서울특별시,종로구,서울특별시 종로구 효제동 255-4,127.002931,37.572674,임시주거시설,486
422,종로56가동주민센터,서울특별시,종로구,서울특별시 종로구 효제동 173-2,127.005068,37.572051,임시주거시설,160
423,회현체육센터,서울특별시,중구,서울특별시 중구 회현동1가 148-8,126.981631,37.556094,임시주거시설,701
424,충무교회,서울특별시,중구,서울특별시 중구 회현동3가 4-1,126.984422,37.560012,임시주거시설,598
425,남산초등학교,서울특별시,중구,서울특별시 중구 남산동2가 2,126.986414,37.55986,임시주거시설,245
426,덕수중학교,서울특별시,중구,서울특별시 중구 인현동2가 3-0,126.997407,37.56546,임시주거시설,756
427,성동고등학교,서울특별시,중구,서울특별시 중구 신당동 161-0,127.022898,37.564162,임시주거시설,877
428,중림종합사회복지관,서울특별시,중구,서울특별시 중구 중림동 155-1,126.966154,37.559472,임시주거시설,198
440,무학초등학교,서울특별시,성동구,서울특별시 성동구 하왕십리동 950-1,127.02953,37.56294,임시주거시설,855
441,왕십리제2동주민센터,서울특별시,성동구,서울특별시 성동구 하왕십리동 973-9,127.031055,37.561855,임시주거시설,70
442,왕십리도선동주민센터,서울특별시,성동구,서울특별시 성동구 상왕십리동 813-0,127.025578,37.567873,임시주거시설,313
443,숭신초등학교,서울특별시,성동구,서울특별시 성동구 하왕십리동 1068-0,127.027769,37.567772,임시주거시설,1923
444,리젠트,서울특별시,성동구,서울특별시 성동구 도선동 144-0,127.034474,37.562817,임시주거시설,89
445,라테라,서울특별시,성동구,서울특별시 성동구 도선동 98-0,127.035094,37.56347,임시주거시설,50
446,광희초등학교,서울특별시,중구,서울특별시 중구 신당동 254-18,127.015117,37.567396,임시주거시설,231
447,교동초등학교,서울특별시,종로구,서울특별시 종로구 경운동 2,126.987747,37.574764,임시주거시설,343
458,사근동주민센터,서울특별시,성동구,서울특별시 성동구 사근동 223-22,127.045367,37.561451,임시주거시설,97
459,행당초등학교,서울특별시,성동구,서울특별시 성동구 행당동 320-60,127.034695,37.556392,임시주거시설,554
460,성동구청,서울특별시,성동구,서울특별시 성동구 행당동 7-0,127.036734,37.563345,임시주거시설,529
461,행당제1동주민센터,서울특별시,성동구,서울특별시 성동구 행당동 139-0,127.036119,37.558574,임시주거시설,127
462,성동공업고등학교,서울특별시,중구,서울특별시 중구 흥인동 1-1,127.016865,37.56878,임시주거시설,738
463,장충초등학교,서울특별시,중구,서울특별시 중구 신당동 386-86,127.011105,37.559466,임시주거시설,567
464,루미아호텔,서울특별시,중구,서울특별시 중구 회현동1가 99-18,126.979787,37.558051,임시주거시설,297
465,베이튼호텔,서울특별시,중구,서울특별시 중구 오장동 186-0,127.002758,37.565212,임시주거시설,1488
471,파라다이스,서울특별시,성동구,서울특별시 성동구 도선동 156-0,127.034537,37.563039,임시주거시설,84
472,동마중학교,서울특별시,성동구,서울특별시 성동구 마장동 405-45,127.039712,37.562685,임시주거시설,659
473,사근초등학교,서울특별시,성동구,서울특별시 성동구 사근동 291-5,127.047668,37.562691,임시주거시설,630
760,구로3동주민센터,서울특별시,구로구,서울특별시 구로구 구로동 287-3,126.890325,37.487346,임시주거시설,173
761,개봉2동주민센터,서울특별시,구로구,서울특별시 구로구 개봉동 261-6,126.856456,37.490839,임시주거시설,187
806,매동초등학교,서울특별시,종로구,서울특별시 종로구 필운동 32-0,126.966316,37.577262,임시주거시설,330
807,종로문화체육센터,서울특별시,종로구,서울특별시 종로구 사직동 284-1,126.964625,37.574132,임시주거시설,734
808,삼청동주민센터,서울특별시,종로구,서울특별시 종로구 삼청동 105-1,126.981776,37.584975,임시주거시설,155
809,세검정초등학교,서울특별시,종로구,서울특별시 종로구 신영동 219-4,126.96096,37.603174,임시주거시설,470
810,평창동주민센터,서울특별시,종로구,서울특별시 종로구 평창동 186-9,126.968398,37.606371,임시주거시설,108
589,스탠포드호텔,서울특별시,마포구,서울특별시 마포구 상암동 1587-0,126.886666,37.582364,임시주거시설,26300
590,창천중학교,서울특별시,마포구,서울특별시 마포구 노고산동 33-1,126.93932,37.554855,임시주거시설,849
591,우리마포복지관,서울특별시,마포구,서울특별시 마포구 노고산동 1-49,126.942623,37.555991,임시주거시설,260
592,대흥동 자치회관,서울특별시,마포구,서울특별시 마포구 노고산동 1-49,126.942636,37.555991,임시주거시설,125
593,한서초등학교,서울특별시,마포구,서울특별시 마포구 염리동 21-19,126.949273,37.553472,임시주거시설,576
594,염리동주민센터,서울특별시,마포구,서울특별시 마포구 염리동 147-14,126.945642,37.547015,임시주거시설,115
595,신석초등학교,서울특별시,마포구,서울특별시 마포구 신수동 445-11,126.933646,37.546075,임시주거시설,693
596,신수동주민센터,서울특별시,마포구,서울특별시 마포구 신수동 458-0,126.935205,37.547075,임시주거시설,373
597,서교초등학교,서울특별시,마포구,서울특별시 마포구 서교동 341,126.924979,37.554863,임시주거시설,1238
897,메이플레이스 호텔,서울특별시,종로구,서울특별시 종로구 원남동 25-0,126.998749,37.576103,임시주거시설,9900
898,오라카이 대학로 호텔,서울특별시,종로구,서울특별시 종로구 원남동 49-15,126.998717,37.575604,임시주거시설,9900
899,종로종합사회복지관,서울특별시,종로구,서울특별시 종로구 창신동 23-344,127.012486,37.577296,임시주거시설,325
924,서울석촌초등학교,서울특별시,송파구,서울특별시 송파구 석촌동 267,127.104776,37.502551,임시주거시설,3692
925,서울신가초등학교,서울특별시,송파구,서울특별시 송파구 가락동 43-1,127.121311,37.500721,임시주거시설,1497
926,서울가락초등학교,서울특별시,송파구,서울특별시 송파구 가락동 477-0,127.107652,37.500183,임시주거시설,4720
927,송파중학교,서울특별시,송파구,서울특별시 송파구 가락동 139-0,127.129326,37.496277,임시주거시설,4011
933,강동경희대학병원,서울특별시,강동구,서울특별시 강동구 상일동 149,127.15747,37.552917,임시주거시설,7954
934,고명초등학교,서울특별시,강동구,서울특별시 강동구 명일동 296-1,127.146865,37.55265,임시주거시설,817
935,서울개롱초등학교,서울특별시,송파구,서울특별시 송파구 오금동 159,127.139664,37.497183,임시주거시설,1256
936,세륜중학교,서울특별시,송파구,서울특별시 송파구 오금동 7-3,127.131848,37.508372,임시주거시설,2194
937,서울송파초등학교,서울특별시,송파구,서울특별시 송파구 송파동 114,127.110752,37.507053,임시주거시설,3070
938,송파여성문화회관,서울특별시,송파구,서울특별시 송파구 송파동 113-2,127.109782,37.505901,임시주거시설,13405
939,서울중대초등학교,서울특별시,송파구,서울특별시 송파구 송파동 191,127.11371,37.500104,임시주거시설,3611
945,청운중학교,서울특별시,종로구,서울특별시 종로구 청운동 89-143,126.970971,37.58908,임시주거시설,717
946,경복고등학교,서울특별시,종로구,서울특별시 종로구 청운동 89-9,126.972439,37.58732,임시주거시설,1052
947,경기상업고등학교,서울특별시,종로구,서울특별시 종로구 청운동 89-3,126.970898,37.587992,임시주거시설,1157
948,청운초등학교,서울특별시,종로구,서울특별시 종로구 청운동 123-0,126.969419,37.585966,임시주거시설,902
949,서머셋펠리스 서울,서울특별시,종로구,서울특별시 종로구 수송동 85-0,126.981162,37.57517,임시주거시설,19800
